Reporter_Organization,ASRS_Report_Number_Accession_Number,Reporter_Organization_1,ASRS_Report_Number_Accession_Number_1,Narrative,Narrative_1,Synopsis,Fuente
,,,,,,,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,866977.0,Air Carrier,866981.0,"Descending to FL340 we got a Green Hydraulic Low Level Reservoir Level ECAM. Captain accomplished ECAM actions. I was flying the airplane. Flight Manual was also used, including performance landing distance computation. An emergency was declared with Center. Request for the long Runway was issued to Approach Control. Captain coordinated with Company and Flight Attendants for our arrival. Manual gear extension was accomplished at 170 KIAS. Slight buffet and higher wind noise was experienced from open gear doors throughout landing phase. Green Hydraulic fluid level did recover slightly after gear down. Normal approach/landing. We stopped the aircraft abeam intersection 'K.' APU was started and engines were shutdown. We remained on the runway awaiting tow in to gate Approximate landing weight was 125,000 LBS. Maintenance truck that met us on runway with the super tug observed hydraulic fluid leaking from the left engine.",Descending we got an ECAM HYD G RSVR LO LVL. The First Officer flew the aircraft and declared an emergency with ATC while I performed the ECAM items. I turned off the PTU and Eng 1 Hydraulic pump per the ECAM and went into the irregular section to check for any other items.,"An A320 crew reported a HYD G RSVR LO LVL ECAM during descent. An emergency was declared followed by a normal descent, approach, and tow to the gate. Hydraulic fluid was seen dripping from the left engine.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,867027.0,,,When the power levers were brought up only the left engine spooled up. The runway condition was less than good. The aircraft began a right swerve. The power levers were brought all the way back and hard breaking applied. Only when left reverse was applied was the aircraft stopped. Total swerve was close to 90 degrees. The aircraft remained on the runway and we taxied off the runway and returned to the gate. The flight was canceled. Maintenance and Dispatch were notified for maintenance action.,,An A320 flight crew temporarily lost control on a slippery runway when the right engine failed to spool up at the start of the takeoff roll.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,867400.0,Air Carrier,868547.0,"Approach asked us to accelerate to 200 knots and descend to 3,000. We went to open descent and retracted the flaps. While retracting the flaps and accelerating through 180 knots, we got an ECAM 'F/CTL FLAPS LOCKED.' We maintained 180 knots and continued the descent and notified Approach Control of the issue. While on vectors we went through the appropriate checklists and declared an emergency. While running the checklist we got an additional ECAM of the BCSU1 had failed. A cabin advisory was issued to the cabin and the landing was uneventful.","We were downwind abeam the airport at 8,000 feet, flaps two, gear down and 170 knots. We were asked by ATC to accelerate to 200 knots. We retracted the flaps to 1 + F and began to accelerate. As we moved the flaps to position 1 we got an F/CTL FLAPS LOCKED ECAM. While working the ECAM and appropriate checklists, we got a BSCU CH 1 FAULT ECAM. Based on the situation, we decided to notify the cabin crew of a advisory and declared an emergency with approach control. The approach and landing were uneventful.",A320 flight crew reports ECAM F/CTL FLAPS LOCKED during descent for approach. While working the the procedure for the flaps a second ECAM is displayed for BSCU1 FAULT. An emergency is declared.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,867406.0,,,At 160 miles to our destination at FL380 we had an ECAM message 'GREEN HYD RES LOW PRESSURE.' We followed the ECAM procedure along with the 'Manual Gear Extension' checklist in our flight manual. We declared an emergency and landed at our destination uneventfully. We then waited for approximately an hour and a half for the gear to be pinned by maintenance. We were then towed to the gate and deplaned.,,An A320 flight crew declared an emergency due to a failed green hydraulic system and landed at their destination.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,867485.0,,,"The Dispatcher advised me of a radio patch with a flight with a maintenance problem the crew wished to discuss. The flight crew informed me they had a source display fault on the Number 1 DEU (Digital Electronic Unit). This is a common fault and it is our normal procedure to reset the DEU to correct the fault. I gave the flight crew the reset procedure and the fault cleared. When the crew came back after the reset the Captain said, 'sorry it took so long to get back we had to do a little aviating and make sure our wings were level because we lost our screens for a bit.' This was the first time I realized he was in flight. I would never reset this system in flight. The flight continued to its destination with no incident.",,"Unaware the B737-800 was in flight, a Maintenance Technician initiated remote system reset of a source display fault for the Number one DEU. The flight crew experienced a short term loss of their navigation and primary flight displays as result.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,867681.0,,,"Enroute I notified crew scheduling of pilot fatigue. Feeling of being tired, irritable, yawning. The reason for the fatigue was the inhumane schedule the automated bidding system awarded for the month of December and January. Basically working 8 days on 1 day off then 6 days on. 1 day off in 15. This schedule caused a chronic fatigue of either sleep and wake times inconsistent. Five long 25 hour plus, boring and fatiguing layovers in both east and west time zones, and 2 all night events. Basically no personal down time. This all being legal because the crew scheduling department designs unproductive low flight hour, long layover trips. Average was 3.8 hours of flying per day thus there was no 30/7 problem but chronic fatigue because of no time off. Additional cause of the fatigue that morning was a restless nights sleep due to a family situation at home. The problem with pilot fatigue at my air carrier is solely caused by poor scheduling and line construction which has no regard to pilot lifestyle. My air carrier is intentionally oppressing the pilot group trying to suck the life out of them as much as possible, hoping they will quit, to weaken them without regard to safety. Safety was never jeopardized on the flight. I was released from duty and allowed to go home after being gone almost 2 weeks.",,A320 Captain laments the schedule created by the company's automated bidding system creates and reports calling in fatigued after nearly 14 days on the road.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,867733.0,,,"I was the non-flying pilot. We were cleared for an ILS Runway 10R Approach to PDX. FDC NOTAMS indicated that CAT II/III was not available (no reason given) to this runway, however that seemed to not be a factor since the weather was above CAT I minimums. As we approached the area there seemed to be a delay in the IPDX text identifier displaying on the Flat Panel ND that would normally indicate a valid ILS signal was being received. I listened to the Aural ID and it indicated correctly. We were cleared for the approach and while on an intercept heading for the approach we appeared to have a valid localizer signal for the approach. We continued and then noticed that the autopilot did not intercept the localizer. I selected the approach/localizer mode to display RAW DATA and confirmed that we were not intercepting the localizer. Using heading select and raw data the flying pilot intercepted the localizer. We began the approach and shortly after crossing YORKY the pilot flying reported that he had localizer and glideslope FAIL FLAGS in view...shortly after, I lost localizer and glideslope information as well and we executed a missed approach. We contacted PDX approach on the missed and reported loss of signal and queried them if they had anyone else report any ILS anomalies. The Controller indicated that they had had multiple reports of unreliable signals from the ILS system and that is why they decertified the CAT II/III approaches. We requested and were cleared for the PDX RNAV (GPS) Runway 10R approach and landed without further incident. There appears to be construction going on at the PDX airport that may be a factor in the ILS Anomalies. After landing I immediately contacted our Dispatch and requested that an ACARS message be sent to all inbound flights warning of the possibility of the ILS being unusable and that the RNAV approach should be briefed for CAT I use into PDX.",,B737 Captain reported anomalies with the ILS 10R at PDX that caused a go around. A NOTAM was in effect for CAT II/III approaches to this runway but nothing concerning CAT I.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,867864.0,Air Carrier,867865.0,"I was pilot flying. We were at flaps 2 speed 180 as we rolled onto final at 15 miles and 3000 FT. In the turn we got an ECAM 'HYD G RSVR LO LVL.' I told the First Officer to do the ECAM checklist, I have the plane and radios. I tried to slow us down to give him time to work the problem and called for 'Gear Down' and we got the 'L/G GEAR NOT DOWNLOCKED' ECAM. At this point we needed some time to figure out what was going on and I told Tower we were unable to land and needed to overfly the airport to work on a hydraulic problem. We received instructions to turn to 300 degrees maintain 3000 FT, contact SOCAL. The First Officer and I had a quick discussion of what systems were inoperative and agreed our destination was out of the question and we should go to ZZZ as he continued working the ECAM checklist. I contacted Approach and told them we were having a hydraulic problem and need to go to ZZZ. He asked if we were an emergency aircraft, I stated not at this time but we will let him know if conditions change. I called the flight attendants and told them the nature of the problem and this was a Cabin Advisory get out your checklist and review the next step in case we run into more problems. We then got a TCAS 'Traffic' alert followed by a 'Climb' RA. I performed the climb maneuver until clear of conflict. We reviewed the checklist of inoperative items and I determined we should declare an emergency due to the fact we had to hand crank the gear down and ground steering was inoperative upon landing. As we reviewed the items we noticed we had hydraulic quantity (almost to the normal range) in the Green system that was not there when this whole ECAM process started. We turned the pump back on and had 3000 PSI on the Green system and all the ECAMs cleared from the screen. Not knowing how long it would stay pressurized I called for gear down and flaps to full to get configured for landing. We advised LAX Tower we would like the fire trucks in place as a precaution and we may not be able to turn off the runway. The landing was made in the touchdown zone and all systems operated normally. Fire crews followed us to the gate where the flight was terminated. Due to the close proximity of our destination to ZZZ we were able to make a quick decision to divert. We were very limited in time due to the fact it was a nice day with no weather forecast and we did not have a lot of extra fuel. The cockpit environment was very busy with radio calls, checklist, passenger and cabin crew communications. We were unable to contact Dispatch and advise them of the diversion due to the fuel/time limitations, reprogramming of boxes and checklists. We did not declare an emergency because we were able to get the airplane fully configured and made a stabilized approach. We landed at ZZZ with 3,600 pounds of fuel remaining.","Our destination was not a good option due to short runway and the potential for loss of steering and normal braking. It was difficult to insert the new destination due to the overflying of the original destination--FMGC box sequence, etc. Eventually completed, though took longer than normal due to lack of a 'new destination' prompt. I have been on the Bus for a long time and know how to do this--but the FMGC was sequencing as we overflew our original destination and the 'new destination' prompt was not offered despite several attempts.Extensive radio communications with atc in the busy terminal area was very distracting and made for difficult division of duties between flying and configuring the aircraft, reviewing systems and status, etc.","An A320 diverted to an airport with a longer runway when they got a Green System Hydraulic low quantity ECAM message on final to the single short runway at their destination. Busy terminal traffic, heavy ATC communications load and low fuel quantity for the diversion trumped their ability to contact Dispatch until at the gate at the diversion airport.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,868083.0,,,"Our flight was about 200 miles northeast of Las Vegas and we were climbing from FL380 to FL400 after burning enough fuel to climb higher. This was routine. A few minutes after reaching FL400, the power levers retarded to idle, the over speed clacker was heard and the Primary Flight Display on the Captain's side was showing completely inaccurate airspeed, altitude and vertical speed information. The 'A' autopilot disengaged as well. The First Officer's Primary Flight Display was unaffected so I transferred control of the aircraft to him by making his flight director the master. We ran numerous QRH checklists but the problem still persisted. Since the First Officer's side was not affected, I elected to continue on to our destination. I then started a descent to FL360 to give us more buffet margin in case the false airspeed indications continued. As soon as we left FL400, all problems with my PFD stopped and everything was normal for the rest of the flight. I elected to let the First Officer land the aircraft just in case my PFD malfunctioned again. I also chose to continue based of the lower terrain since this flight was at night. Maintenance met us and performed numerous tests. The cause was not immediately identified but the FMC showed 48 events of a malfunctioning ADIRU-1.",,Multiple and intermittent primary flight display and autopilot problems occurred on a B737 during cruise. Crew elected to continue to destination.,ASRS_DBOnline_2010_2014.xlsx
