epoch,train_loss,val_mse,val_mae,val_rmse
1,7887.867929426794,6140.9927,60.519222,78.36449
2,5419.612174179148,4416.4624,51.086926,66.45647
3,4162.19290977295,3590.321,47.00669,59.91929
4,3601.6562212524705,3269.8538,45.772793,57.182636
5,3398.2656445529756,3171.6382,45.651386,56.3173
6,3342.4221689541578,3152.0874,45.77962,56.143456
7,3331.697644599685,3150.5889,45.88791,56.130108
8,4416.066499941341,4415.3076,52.764263,66.447784
9,8617.728383099276,7821.5083,72.746826,88.43929
10,9492.119109433348,7854.3276,73.66993,88.62464
11,9190.404858091952,7517.5547,71.65054,86.703835
12,8546.09983563086,6992.8384,68.26272,83.62319
13,7736.791480473716,6393.0537,64.252525,79.95657
14,7188.904014986269,5906.0806,60.88376,76.85103
15,6602.805578169072,5433.6387,57.645847,73.71322
16,6133.333544821006,4996.6147,54.40462,70.68674
17,5535.291402261813,4488.2236,50.89301,66.99421
18,5006.048405757451,4011.495,47.73914,63.336365
19,4534.169967421019,3699.822,45.82362,60.82616
20,3983.838491646224,2829.6453,40.24061,53.19441
21,2410.7022614829893,1837.5378,28.31259,42.866512
22,1786.1359509077547,1523.5491,25.94455,39.032665
23,1512.266873277088,1323.3262,24.214825,36.377552
24,1335.1712453864288,1220.9822,23.329538,34.942554
25,1215.0360807876186,1207.6567,23.32945,34.751354
26,1130.1441876011206,1223.7815,22.651402,34.98259
27,1079.1563468240847,1197.1725,23.391115,34.60018
28,1040.8316682978918,1336.9932,24.61378,36.56492
29,1041.662996140266,1203.2096,24.043825,34.687313
30,1016.7852526861288,1286.2336,25.128412,35.8641
31,999.9937091307895,1229.8822,25.695967,35.069675
32,976.5734718864679,1107.5315,23.846483,33.279594
33,1001.302445958912,1175.0161,24.918701,34.278507
34,980.1427251602723,1122.1741,23.283953,33.498867
35,980.8668242520754,1272.8698,24.899721,35.6773
36,960.8319984774284,1157.6923,24.96335,34.024876
37,966.9864736278466,1186.4641,24.757689,34.445087
38,953.2884400248167,1156.2329,24.395021,34.003426
39,988.49576905034,1384.4454,28.02438,37.208138
40,1026.6520620164517,1375.4623,27.572203,37.087227
41,1029.427664116193,1360.959,26.62747,36.89118
42,951.846614052642,1191.1577,24.116177,34.513153
43,948.9922648196036,1186.722,24.816832,34.448833
44,943.0619137210988,1178.0354,22.89689,34.32252
45,1008.1762535474684,1282.1589,25.61456,35.807247
46,956.6887897980644,1242.9083,25.613956,35.254906
47,966.0402242338337,1430.8607,28.260563,37.82672
48,1009.8336069848718,1368.9849,27.45318,36.999794
49,983.2167392441564,1278.8784,25.1882,35.76141
50,879.7801095722174,1234.4688,24.677717,35.135006
51,1009.4308834224443,1382.8134,27.650618,37.1862
52,994.1820900330724,1349.0364,26.957413,36.72923
53,982.0365906392148,1324.8115,26.380037,36.39796
54,971.8179959524953,1331.6251,26.936312,36.49144
55,958.5553055888572,1334.6179,26.54975,36.53242
56,950.8931164549812,1332.7,26.727373,36.506165
57,944.1233781505119,1337.2224,26.589924,36.56805
