epoch,train_loss,val_mse,val_mae,val_rmse
1,17567.950379734608,14620.634,87.89229,120.91581
2,12922.939066171195,11169.234,75.138885,105.6846
3,10307.352585137229,9316.931,69.51798,96.52425
4,8976.340360181184,8449.997,67.96918,91.92387
5,8404.748803843371,8124.868,68.25739,90.138054
6,8210.28369183743,8035.4897,68.91144,89.64089
7,8161.771540305286,8018.8916,69.323006,89.54826
8,8152.746053958189,8016.4346,69.53138,89.534546
9,8151.357769221786,8016.4414,69.65857,89.534584
10,5548.181501415258,3936.061,35.38283,62.738033
11,3546.2608949178343,3044.9949,31.707966,55.181473
12,2721.396537117629,2590.006,31.27295,50.8921
13,2138.8072043012608,2179.3691,28.49272,46.683712
14,1710.5614920296493,2107.4536,28.42953,45.90701
15,1360.6726829593292,1983.1127,27.884356,44.532154
16,1074.545883935202,2050.2854,27.757881,45.28008
17,851.8035624881734,2223.698,29.05938,47.1561
18,752.5197516468173,2160.428,29.642899,46.480404
19,581.3506759945766,2215.7454,28.16857,47.071705
20,462.2509848588771,2185.896,28.349731,46.753567
21,407.7275059222273,2378.0393,28.95995,48.765144
22,309.49526868877695,2240.8433,28.945593,47.337547
23,216.5109473659515,2347.9363,30.649052,48.45551
24,207.20945592995503,2312.4827,29.653114,48.08828
25,147.31023532438658,2379.1296,31.595638,48.77632
26,101.75626782094514,2410.4658,30.885098,49.096497
27,84.17231074723347,2411.355,30.566088,49.10555
28,69.37078509493766,2390.0078,31.074339,48.887707
29,59.57667443140828,2404.8977,31.271057,49.039757
30,52.39352320963067,2455.5022,31.526918,49.553024
31,47.35241318759603,2503.1235,32.51175,50.031227
32,43.10340334443648,2462.019,31.819695,49.618736
33,38.06693591821294,2512.4863,32.577644,50.124706
34,33.96836634200775,2478.5967,31.588274,49.785507
35,30.58263508452734,2447.7126,31.935581,49.474365
36,30.336998289735558,2563.1711,33.02536,50.62777
37,38.36502478813575,2498.853,31.709063,49.98853
38,28.09743398487365,2455.0027,31.909925,49.547985
39,20.274261628121224,2458.056,32.048145,49.578785
40,19.03434780679556,2482.4973,31.906158,49.824665
