epoch,train_loss,val_mse,val_mae,val_rmse
1,17418.85517973579,14585.906,87.207794,120.772125
2,12774.113664015193,11133.471,74.5256,105.51527
3,10205.448288400823,9338.637,69.59733,96.63662
4,8916.592676914639,8495.699,68.173096,92.17212
5,8369.484748525609,8185.4937,68.49939,90.47372
6,7826.073258325974,6022.0015,46.8748,77.601555
7,5243.045457278132,4421.2534,36.887913,66.49251
8,4004.33590524615,3477.9827,31.490343,58.974422
9,3244.8349894878165,2866.4387,29.061274,53.53913
10,2725.294415422567,2397.8335,26.942986,48.967678
11,2334.8984200063865,2150.0872,25.98826,46.369034
12,2025.1056701228977,1850.8317,24.448448,43.021294
13,1792.5779130824264,1733.2747,24.294685,41.632614
14,1601.9686182204239,1592.1886,22.756266,39.902237
15,1484.897560307308,1734.1688,24.407614,41.643353
16,1328.0405272205555,1651.3569,25.416288,40.63689
17,1207.2389153010972,1306.4762,21.875542,36.14521
18,1152.173708580174,1443.1545,23.684628,37.988873
19,1036.2666336026846,1311.742,21.965448,36.21798
20,976.8068537321701,1326.2095,22.511131,36.41716
21,908.0584002422988,1315.7273,22.521465,36.272957
22,834.8867619758569,1407.4364,23.104622,37.515816
23,778.0218594405394,1418.4855,22.91298,37.662785
24,750.723610991681,1220.8184,21.57131,34.940212
25,702.2054264207678,1479.927,23.458326,38.46982
26,630.0998923805904,1271.7375,22.574112,35.66143
27,581.1907940495581,1442.2802,23.443287,37.977364
28,534.9395688815963,1602.4208,24.238897,40.030247
29,479.5504655949898,1379.1139,22.17753,37.13642
30,426.9733959595974,1235.2695,21.869938,35.1464
31,436.8872877698205,1920.0171,25.460453,43.818
32,333.3141251081955,1512.1033,23.796595,38.885773
33,278.69921657292286,1710.4624,25.206741,41.35774
34,222.54486534414127,2120.5566,26.590792,46.049503
35,210.62453999572884,2032.131,25.864126,45.079163
36,128.9363118072198,1957.7461,25.765799,44.246426
37,93.1233364681255,1987.3862,25.684631,44.58011
38,84.39514364678305,1988.2158,25.786577,44.589413
39,73.84162973861338,2014.0149,25.787577,44.877777
40,70.71298005840465,2191.1665,26.881483,46.8099
41,79.70786308439199,2055.828,26.13603,45.34124
42,50.48656130901754,2127.3782,26.659418,46.12351
43,47.983333229612576,2154.3616,26.496046,46.4151
44,70.77708841768748,2050.6543,25.986097,45.28415
45,38.54683954910927,2219.4626,27.039652,47.11117
46,30.812955598144224,2121.088,26.103563,46.05527
47,22.52033483833206,2171.1829,26.600239,46.595955
48,20.719099654034917,2256.328,27.241203,47.50082
49,19.90211792661095,2232.121,26.842796,47.245327
