operatorcontrolnumber,difficultydate,submissiondate,operatordesignator,submitterdesignator,submittertypecode,receivingregioncode,receivingdistrictoffice,sdrtype,jasccode,natureofconditiona,natureofconditionb,natureofconditionc,precautionaryprocedurea,precautionaryprocedureb,precautionaryprocedurec,precautionaryprocedured,stageofoperationcode,howdiscoveredcode,registrynnumber,aircraftmake,aircraftmodel,aircraftserialnumber,aircrafttotaltime,aircrafttotalcycles,enginemake,enginemodel,engineserialnumber,enginetotaltime,enginetotalcycles,propellermake,propellermodel,propellerserialnumber,propellertotaltime,propellertotalcycles,partmake,partname,partnumber,partserialnumber,partcondition,partlocation,parttotaltime,parttotalcycles,parttimesince,partsincecode,componentmake,componentmodel,componentname,componentpartnumber,componentserialnumber,componentlocation,componenttotaltime,componenttotalcycles,componenttimesince,componentsincecode,fuselagestationfrom,fuselagestationto,stringerfrom,stringerfromside,stringerto,stringertoside,wingstationfrom,wingstationfromside,wingstationto,wingstationtoside,buttlinefrom,buttlinefromside,buttlineto,buttlinetoside,waterlinefrom,waterlineto,cracklength,numberofcracks,corrosionlevel,structuralother,discrepancy
FDEA201003030597,2010-03-03 00:00:00,3/29/2010 13:55:42,FDEA,FDEA,A,CE,21.0,A,5230.0,W,,,K,,,,IN,V,601FE,DOUG,MD11F,48401,60845.0,14595.0,GE,CF680C2D1F,,,,,,,,,,STRUCTURE,,,MISREPAIRED,CARGO DOOR,,,,,,,,,,,,,,,1670,,,,,,,,,,,,,,,,,,,,"EXISTING REPAIR FOUND AT CTR CARGO DOOR EXTERIOR FWD LOWER CORNER. EXISTING REPAIR AT CTR CARGO DOOR EXTERIOR FWD LOWER CORNER EVALUATED AND FOUND PREVIOUSLY ACCOMPLISHED NOT IAW SRM REPAIR SCHEME. EXISTING REPAIR DOUBLER REMOVED IAW SRM 51-31-01 REV 42 AND REPAIR CARRIED OUT IAW SRM 52-30-16, FIG 201, REV 42. EO NR 1-5100-7-5001A4 PART 1, SRM REPAIR IDENTIFICATION AND TRACKING REQUIREMENTS, 14 CFR 121.707 ACCOMPLISHED. REPAIR CLASSIFIED AS MAJOR IAW GMM 6-2-100 REV 109."
IPXA11M66134,4/15/2011 0:00:00,4/20/2011 13:42:59,IPXA,IPXA,A,CE,25.0,A,7314.0,Y,J,,O,,,,DE,O,281UP,DOUG,MD11F,48538,,,PWA,PW4460,,,,,,,,,,PUMP,82550112,4243,INOPERATIVE,NR 2 ENG FUEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ON DESCENT, GOT LEVEL 0 ENGINE RPM LO, ATTEMPTED RESTART IN FLIGHT, UNSUCCESSFUL. EMERGENCY DECLARED. R & R ENGINE DRIVEN NR 2 ENGINE FUEL PUMP IAW MM 73-12-12-01-4. ENGINE STATS & RUNS NORMAL IAW MM 71-02-03. 5 MINUTE MINIMUM IDLE POWER."
IPXA2M74126,6/27/2012 0:00:00,2012-02-07 13:44:22,IPXA,IPXA,A,CE,25.0,A,3230.0,J,,,O,,,,AP,O,295UP,DOUG,MD11F,48475,,,PWA,PW4460,,,,,,,,,,LANDING GEAR,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/29/2012,"ON APPROACH WITH A/P ENGAGED, GEAR HANDLE WAS LOWERED. AP2 DISENGAGED AND NO GEAR LOWERED. ALL GEAR INDICATION UNSAFE. LANDING GEAR EXTENSION/RETRACTION ADJUSTED AND TESTED IAW AMM 32-32-00-5. NO FAULTS NOTED."
FDEA201008233116,8/23/2010 0:00:00,2010-02-09 18:21:11,FDEA,FDEA,A,CE,21.0,A,5330.0,O,,,K,,,,IN,X,578FE,DOUG,MD11F,48458,53424.0,13957.0,,,,,,,,,,,DOUG,LONGERON,A5A70001,,CRACKED,ZONE 200,,,,,,,,,,,,,,,,,3.0,R,,R,,,,,,,,,,,2200.0,1.0,,,"CRACK INDICATION FOUND APROXIMATELY 2.2"" IN LENGTH DURING X-RAY INSPECTION AT STATION 5-123, LONGERON 3R FORWARD SECTION EDGE. CRACKED AT LONGERON 3R FORWARD SECTION EDGE AT STATION 5-123 REPAIRED AS PER SRM 53-00-05 FIGURE 201 REVISION 44. THIS REPAIR IS CLASSIFIED AS MAJOR AS PER GMM 6-2-100 REVISION 110."
IPXA11M64915,2/15/2011 0:00:00,2/25/2011 14:14:24,IPXA,IPXA,A,CE,25.0,A,5754.0,O,,,K,,,,IN,V,287UP,DOUG,MD11F,48539,71251.0,11268.0,PWA,PW4460,,,,,,,,,,FRAME,,,BROKEN,NR 5 SLAT,,,,,,,SLAT,NRB67312,48486,NR 5,,,,,,,,,,,,,,,,,,,,,,,,,"INSPECTION TYPE:3C, UPON FURTHER INSP OF RT NR 5 SLAT FOUND 6 EA BROKEN FRAMES. R & R RT NR 5 SLAT ASSY REF MM 27-80-30-4, MM27-80-3 0-6."
IPXA11M66559,2011-11-04 00:00:00,2011-11-05 14:45:52,IPXA,IPXA,A,CE,25.0,A,5313.0,O,,,K,,,,IN,V,251UP,DOUG,MD11F,48744,43384.0,8664.0,,,,,,,,,,,,LONGERON SPLICE,A5A7112509,,CRACKED,BS 1531 L30R,,,,,,,,,,,,,,,1531,,30.0,R,,,,,,,,,,,,,,,,,"INSPECTION TYPE:4C LOWER CENTER CARGO COMPT L30R SPLICE FITTING CRACKED AT STA.1531/5-123. REMOVED, FABRICATED, AND INSTALLED REPLACEMENT SPLICE FITTING REF. DAC DWG. A5A7112 AND SRM 51-33-01."
FDEA201204101339,2012-10-04 00:00:00,2012-10-04 16:43:18,FDEA,FDEA,A,CE,21.0,A,5310.0,O,,,K,,,,IN,V,577FE,DOUG,MD11F,48469,60991.0,13172.0,,,,,,,,,,,DOUG,LONGERON,AFA7772501,,CORRODED,ZONE 100,,,,,,,,,,,,,,,1646,,50.0,L,,,,,,,,,,,,,,,2.0,,"CENTER CARGO COMPARTMENT, BILGE AREA BS 1646 LONGERON 50 LT FOUND WITH SURFACE CORROSION. REPAIR CARRIED OUT AT CENTER CARGO COMPARTMENT BILGE AREA STA 1646, LONGERON 50L IAW EA 1-5310-159838. REPAIR CLASSIFIED MAJOR IAW GMM 6-2-100, REV 114."
IPXA2M74369,6/22/2012 0:00:00,7/16/2012 14:10:11,IPXA,IPXA,A,CE,25.0,A,5311.0,O,,,K,,,,IN,V,288UP,DOUG,MD11F,48540,61782.0,10318.0,,,,,,,,,,,DOUG,FRAME,ADA004915,,DENTED,BS 695 L12R,,,,,,,,,,,,,,,695,,12.0,R,13.0,R,,,,,,,,,,,,,,,"INSPECTION TYPE:4C, FRAME 685, DENTED BETWEEN L12R AND L13R. REPAIRED FS 695 FRAME BETWEEN L12R AND L13R REF EA011-5310-01-A4 041 REV I/R, EO MD11-5310-47852-A."
FDEA201004091120,2010-09-04 00:00:00,2010-09-04 15:57:31,FDEA,FDEA,A,CE,21.0,A,5321.0,O,,,K,,,,IN,V,361FE,DOUG,MD1010F,48260,75748.0,26174.0,,,,,,,,,,,DOUG,FLOOR PANEL,ADA362114,,CRACKED,CARGO BAY,,,75748.0,R,,,,,,,,,,,879,920,,,,,,,,,8.0,R,15,R,,,3000.0,2.0,,,"FWD CARGO PIT FLOOR PANEL NO. 123 XF HAS CRACK DAMAGE. FABRICATED NEW FWD CARGO PIT FLOOR PANEL 123 XF IAW DWG SRZ 25-005, REV ""H""."
CWQA2010F00030,2010-07-02 00:00:00,2010-10-02 08:21:02,CWQA,CWQA,E,GL,5.0,A,2131.0,J,,,A,,,,CL,O,910JW,AMD,FALCON900,31,15621.0,10607.0,GARRTT,TFE7315BR,,,,,,,,,,CONTROLLER,22250J032100,203,FAULTY,CABIN PRESSURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUTO PRESSURIZATION CONTROLLER FAILURE DROVE CABIN BELOW SEA-LEVEL AFTER TAKE OFF.
